"id","slug","name","source","aliases","best_wger_score","best_wger_id","best_wger_name","best_wger_has_media","best_exercemus_score","best_exercemus_name","note"
"0157598a-58be-4b44-90b9-5f476829500d","intermediate-groin-stretch-other","Intermediate Groin Stretch","free_exercise_db","","0.25","1239","Standing Calf Stretch","true","0.25","Adductor/Groin","wger_has_media=true_but_low_match"
"c4b45906-4f68-4cd8-87d9-1be49c409e18","internal-rotation-with-band-bands","Internal Rotation with Band","free_exercise_db","","0.42857142857142855","1826","Band pull-apart with external rotation","false","0.2","Band Skullcrusher","wger_has_media=false"
"98ca5479-78df-4f2b-94da-251151ccddf7","inverted-row-with-straps-other","Inverted Row with Straps","free_exercise_db","","0.25","1637","Single arm row","true","0","3/4 Sit-Up","wger_has_media=true_but_low_match"
"57196788-7374-4813-9893-259f94c41f4e","iron-cross-dumbbell","Iron Cross","free_exercise_db","","0.25","161","Cross-Bench Dumbbell Pullovers","false","0.2","Cross Body Hammer Curl","wger_has_media=false"
"0e1437b3-f319-4aec-954a-3fb2bf449d9d","iron-crosses-stretch","Iron Crosses (stretch)","free_exercise_db","","0","57","Bear Walk 2","false","0","3/4 Sit-Up","wger_has_media=false"
"d87b99e2-f67c-40a3-9dc3-b111e12c9a1a","isometric-chest-squeezes-body-only","Isometric Chest Squeezes","free_exercise_db","","0.25","129","Chest Press","false","0","3/4 Sit-Up","wger_has_media=false"
"60048dba-3d54-47c0-9c25-87baf47a9267","isometric-neck-exercise-front-and-back-body-only","Isometric Neck Exercise - Front And Back","free_exercise_db","","0.2857142857142857","1010","Back neck stretch","false","0","3/4 Sit-Up","wger_has_media=false"
"8499e27e-6710-4362-9d70-f4e6830eedc2","isometric-neck-exercise-sides-body-only","Isometric Neck Exercise - Sides","free_exercise_db","","0.2","314","Isometric Wipers","false","0","3/4 Sit-Up","wger_has_media=false"
"7ca1d1bd-b37c-45c1-9c4d-5153eeafd629","isometric-wipers-body-only","Isometric Wipers","free_exercise_db","","1","314","Isometric Wipers","false","0","3/4 Sit-Up","wger_has_media=false"
"53f8fc66-2b23-4ff2-9de5-d96047a7be8a","jefferson-squats-barbell","Jefferson Squats","free_exercise_db","","0.5","615","Squats","false","0","3/4 Sit-Up","wger_has_media=false"
"54affd51-40d6-49a4-9455-f5c2e1de66d8","jerk-balance-barbell","Jerk Balance","free_exercise_db","","0.3333333333333333","1445","Jerk OL","false","0","3/4 Sit-Up","wger_has_media=false"
"fe158788-b41e-47b0-949d-8d12ec48e2ea","jerk-dip-squat-barbell","Jerk Dip Squat","free_exercise_db","","0.3333333333333333","1747","Smith machine squat","true","0","3/4 Sit-Up","wger_has_media=true_but_low_match"
"2faac4a9-9dcf-4109-ac36-e6288559461b","jogging-treadmill-machine","Jogging, Treadmill","free_exercise_db","","0.5","319","Jogging","false","0","3/4 Sit-Up","wger_has_media=false"
"af661fcf-a90a-4eb1-83c2-fbd9132582ac","keg-load-other","Keg Load","free_exercise_db","","0","57","Bear Walk 2","false","0","3/4 Sit-Up","wger_has_media=false"
"0731b785-08e7-4154-80b9-473050ae909b","kettlebell-arnold-press-kettlebells","Kettlebell Arnold Press","free_exercise_db","","0.5","20","Arnold Shoulder Press","false","0.16666666666666666","Close-Grip Barbell Bench Press","wger_has_media=false"
"2b372c4f-af1b-43cc-b344-1b2c9de83fb4","kettlebell-dead-clean-kettlebells","Kettlebell Dead Clean","free_exercise_db","","0.3333333333333333","1360","Double Kettlebell Clean and Press","false","0","3/4 Sit-Up","wger_has_media=false"
"c61dce5b-c246-4640-98ce-5191bc2f1801","kettlebell-figure-8-kettlebells","Kettlebell Figure 8","free_exercise_db","","0.25","960","Kettlebell Swing","false","0","3/4 Sit-Up","wger_has_media=false"
"50cae857-0a91-4d56-b6df-e6899abcd7b5","kettlebell-hang-clean-kettlebells","Kettlebell Hang Clean","free_exercise_db","","0.3333333333333333","1360","Double Kettlebell Clean and Press","false","0","3/4 Sit-Up","wger_has_media=false"
"979b144c-4c63-41ff-8a55-df09c8684230","kettlebell-pass-between-the-legs-kettlebells","Kettlebell Pass Between The Legs","free_exercise_db","","0.16666666666666666","960","Kettlebell Swing","false","0","3/4 Sit-Up","wger_has_media=false"
"aacd38a0-dabd-45b7-817c-fc1578bb4a10","kettlebell-pirate-ships-kettlebells","Kettlebell Pirate Ships","free_exercise_db","","0.25","960","Kettlebell Swing","false","0","3/4 Sit-Up","wger_has_media=false"
"cb97a2cb-1b31-4e2c-87dc-4bb4b75826c9","kettlebell-seesaw-press-kettlebells","Kettlebell Seesaw Press","free_exercise_db","","0.3333333333333333","916","Smith Press","false","0.16666666666666666","Close-Grip Barbell Bench Press","wger_has_media=false"
"9dd73ab0-b6de-4b0d-bf81-3741babb8bbd","kettlebell-thruster-kettlebells","Kettlebell Thruster","free_exercise_db","","0.5","650","Thruster","false","0","3/4 Sit-Up","wger_has_media=false"
"7b676b97-d121-436b-9867-4950d97d4361","kettlebell-turkish-get-up-lunge-style-kettlebells","Kettlebell Turkish Get-Up (Lunge style)","free_exercise_db","","0.75","675","Turkish Get-Up","false","0.14285714285714285","3/4 Sit-Up","wger_has_media=false"
"06f46f8f-a0f9-4561-98a4-9e44b8519cfc","kettlebell-turkish-get-up-squat-style-kettlebells","Kettlebell Turkish Get-Up (Squat style)","free_exercise_db","","0.75","675","Turkish Get-Up","false","0.14285714285714285","3/4 Sit-Up","wger_has_media=false"
"ece286a7-2db8-43d3-bb99-3a3059647bcb","kettlebell-windmill-kettlebells","Kettlebell Windmill","free_exercise_db","","0.3333333333333333","960","Kettlebell Swing","false","0","3/4 Sit-Up","wger_has_media=false"
"ecbd7327-79d7-44bf-a990-61fe8d175cbb","kipping-muscle-up-other","Kipping Muscle Up","free_exercise_db","","0.6666666666666666","423","Muscle up","false","0.16666666666666666","3/4 Sit-Up","wger_has_media=false"
"03c2a1c9-610a-40d5-b501-38ccba9c7cf6","knee-across-the-body","Knee Across The Body","free_exercise_db","","0.2","978","Knee Raises","false","0.14285714285714285","Cross Body Hammer Curl","wger_has_media=false"
"e6768f4a-c5f3-4145-a24b-cd056f90dd45","knee-circles-body-only","Knee Circles","free_exercise_db","","0.3333333333333333","978","Knee Raises","false","0","3/4 Sit-Up","wger_has_media=false"
"cf9000ae-4d9f-4069-b1df-542242abb024","kneehip-raise-on-parallel-bars-other","Knee/Hip Raise On Parallel Bars","free_exercise_db","","0.2857142857142857","292","Hip Raise, Lying","false","0","3/4 Sit-Up","wger_has_media=false"
"955fe440-3845-46bf-abc2-755578561076","kneeling-arm-drill","Kneeling Arm Drill","free_exercise_db","","0.3333333333333333","990","Kneeling kickbacks","false","0","3/4 Sit-Up","wger_has_media=false"
"7626aa42-2109-4132-90ae-afdff583cbac","kneeling-cable-crunch-with-alternating-oblique-twists-cable","Kneeling Cable Crunch With Alternating Oblique Twists","free_exercise_db","","0.25","237","Fly With Cable","true","0.14285714285714285","Machine Crunch","wger_has_media=true_but_low_match"
"033e64e9-7b68-4b63-8a49-90ec6dfd04f0","kneeling-forearm-stretch","Kneeling Forearm Stretch","free_exercise_db","","0.25","990","Kneeling kickbacks","false","0","3/4 Sit-Up","wger_has_media=false"
"9ffd4736-1cb1-4d0e-aba0-21fdba1bbdeb","kneeling-high-pulley-row-cable","Kneeling High Pulley Row","free_exercise_db","","0.5","1492","High Row","false","0","3/4 Sit-Up","wger_has_media=false"
"12668b27-9ea8-4af8-97a7-f9f92aa1ad39","kneeling-jump-squat-barbell","Kneeling Jump Squat","free_exercise_db","","0.3333333333333333","1747","Smith machine squat","true","0","3/4 Sit-Up","wger_has_media=true_but_low_match"
"7f666c00-7656-42dd-99d6-5a6c835625e8","kneeling-single-arm-high-pulley-row-cable","Kneeling Single-Arm High Pulley Row","free_exercise_db","","0.5","1492","High Row","false","0","3/4 Sit-Up","wger_has_media=false"
"c605a479-27c0-4f68-9c98-6c165a1e914d","landmine-180s-barbell","Landmine 180's","free_exercise_db","","0.25","346","Landmine press","false","0","3/4 Sit-Up","wger_has_media=false"
"543b5de9-3fde-4e10-ba1d-61ec3ce954c0","landmine-linear-jammer-barbell","Landmine Linear Jammer","free_exercise_db","","0.25","346","Landmine press","false","0","3/4 Sit-Up","wger_has_media=false"
"8b44890c-011c-4236-b12b-0f68b43e3961","lateral-bound-body-only","Lateral Bound","free_exercise_db","","0.3333333333333333","348","Lateral Raises","true","0","3/4 Sit-Up","wger_has_media=true_but_low_match"
"7669fade-43fc-4721-97f6-aa4f48cb740d","lateral-box-jump-other","Lateral Box Jump","free_exercise_db","","0.25","348","Lateral Raises","true","0","3/4 Sit-Up","wger_has_media=true_but_low_match"
"971df0e1-4e03-4bb3-b4cf-d0af71910c2c","lateral-cone-hops-other","Lateral Cone Hops","free_exercise_db","","0.25","348","Lateral Raises","true","0","3/4 Sit-Up","wger_has_media=true_but_low_match"
"ce8cc438-caf4-4908-a044-359d917201f1","lateral-raise-with-bands-bands","Lateral Raise - With Bands","free_exercise_db","","0.4","1365","Calf Raise with machine (seated)","false","0","3/4 Sit-Up","wger_has_media=false"
"7cf88eac-112f-4661-9c28-e675848ee644","latissimus-dorsi-smr-foam-roll","Latissimus Dorsi-SMR","free_exercise_db","","0","57","Bear Walk 2","false","0","3/4 Sit-Up","wger_has_media=false"
"511cc857-7ecc-4f13-aa2b-b37ec1c7f514","leg-extensions-machine","Leg Extensions","free_exercise_db","","0.3333333333333333","71","Single Leg Extension","false","0","3/4 Sit-Up","wger_has_media=false"
"80dc75ee-2d23-4141-b072-cac6e5d0e888","leg-lift-body-only","Leg Lift","free_exercise_db","","0.4","1410","Plank with Alternating Leg Lift","false","0","3/4 Sit-Up","wger_has_media=false"
"eb17211b-321b-4d53-8ade-0cd3ed41bbb6","leg-pull-in-body-only","Leg Pull-In","free_exercise_db","","0.3333333333333333","979","Leg raises pull up bar","false","0","3/4 Sit-Up","wger_has_media=false"
"e9fbf417-a08d-42e0-b05b-61ce436ea3c2","leg-up-hamstring-stretch","Leg-Up Hamstring Stretch","free_exercise_db","","0.75","1393","Single Leg Hamstring Stretch","false","0.2","90/90 Hamstring","wger_has_media=false"
